[Lab2] Flow matching on symmetric GMM ...

  0%|          | 0/5000 [00:00<?, ?it/s]
loss: 103.8338:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 22.9462:   3%|¨†         | 126/5000 [00:02<01:22, 59.20it/s]
loss: 25.5442:   3%|¨†         | 126/5000 [00:02<01:22, 59.20it/s]
loss: 25.2920:   3%|¨†         | 126/5000 [00:02<01:22, 59.20it/s]
loss: 26.4465:   3%|¨†         | 126/5000 [00:02<01:22, 59.20it/s]
loss: 26.4465:   3%|¨†         | 133/5000 [00:02<01:18, 61.68it/s]
loss: 26.9795:   3%|¨†         | 133/5000 [00:02<01:18, 61.68it/s]
loss: 22.7232:   3%|¨†         | 133/5000 [00:02<01:18, 61.68it/s]
loss: 23.5905:   3%|¨†         | 133/5000 [00:02<01:18, 61.68it/s]
loss: 64.5855:   3%|¨†         | 133/5000 [00:02<01:18, 61.68it/s]
loss: 24.5102:   3%|¨†         | 133/5000 [00:02<01:18, 61.68it/s]
loss: 25.5438:   3%|¨†         | 133/5000 [00:02<01:18, 61.68it/s]
loss: 27.7304:   3%|¨†         | 133/5000 [00:02<01:18, 61.68it/s]
loss: 24.8767:   3%|¨†         | 133/5000 [00:02<01:18, 61.68it/s]
loss: 24.8767:   3%|¨†         | 141/5000 [00:02<01:15, 64.48it/s]
loss: 22.5675:   3%|¨†         | 141/5000 [00:02<01:15, 64.48it/s]
loss: 21.5789:   3%|¨†         | 141/5000 [00:02<01:15, 64.48it/s]
loss: 23.1756:   3%|¨†         | 141/5000 [00:02<01:15, 64.48it/s]
loss: 28.6225:   3%|¨†         | 141/5000 [00:02<01:15, 64.48it/s]
loss: 24.5697:   3%|¨†         | 141/5000 [00:02<01:15, 64.48it/s]
loss: 23.7270:   3%|¨†         | 141/5000 [00:02<01:15, 64.48it/s]
loss: 24.6928:   3%|¨†         | 141/5000 [00:02<01:15, 64.48it/s]
loss: 23.9806:   3%|¨†         | 141/5000 [00:02<01:15, 64.48it/s]
loss: 23.9806:   3%|¨†         | 149/5000 [00:02<01:12, 66.54it/s]
loss: 23.3772:   3%|¨†         | 149/5000 [00:02<01:12, 66.54it/s]
loss: 21.4670:   3%|¨†         | 149/5000 [00:02<01:12, 66.54it/s]
loss: 22.9194:   3%|¨†         | 149/5000 [00:02<01:12, 66.54it/s]
loss: 25.0007:   3%|¨†         | 149/5000 [00:02<01:12, 66.54it/s]
loss: 23.9122:   3%|¨†         | 149/5000 [00:02<01:12, 66.54it/s]
loss: 28.3873:   3%|¨†         | 149/5000 [00:02<01:12, 66.54it/s]
loss: 28.0432:   3%|¨†         | 149/5000 [00:02<01:12, 66.54it/s]
loss: 28.0432:   3%|¨†         | 156/5000 [00:02<01:19, 60.72it/s]
loss: 25.3507:   3%|¨†         | 156/5000 [00:02<01:19, 60.72it/s]
loss: 27.2771:   3%|¨†         | 156/5000 [00:02<01:19, 60.72it/s]
loss: 24.7315:   3%|¨†         | 156/5000 [00:02<01:19, 60.72it/s]
loss: 24.7937:   3%|¨†         | 156/5000 [00:02<01:19, 60.72it/s]
loss: 23.4037:   3%|¨†         | 156/5000 [00:02<01:19, 60.72it/s]
loss: 24.2706:   3%|¨†         | 156/5000 [00:02<01:19, 60.72it/s]
loss: 26.7815:   3%|¨†         | 156/5000 [00:02<01:19, 60.72it/s]
loss: 26.7815:   3%|¨†         | 163/5000 [00:02<01:29, 54.02it/s]
loss: 27.8105:   3%|¨†         | 163/5000 [00:02<01:29, 54.02it/s]
loss: 29.8644:   3%|¨†         | 163/5000 [00:02<01:29, 54.02it/s]
loss: 31.1501:   3%|¨†         | 163/5000 [00:02<01:29, 54.02it/s]
loss: 22.5439:   3%|¨†         | 163/5000 [00:02<01:29, 54.02it/s]
loss: 78.9092:   3%|¨†         | 163/5000 [00:02<01:29, 54.02it/s]
loss: 26.6039:   3%|¨†         | 163/5000 [00:02<01:29, 54.02it/s]
loss: 26.6039:   3%|¨†         | 169/5000 [00:02<01:44, 46.42it/s]
loss: 21.5565:   3%|¨†         | 169/5000 [00:02<01:44, 46.42it/s]
loss: 25.5433:   3%|¨†         | 169/5000 [00:02<01:44, 46.42it/s]
loss: 22.4523:   3%|¨†         | 169/5000 [00:03<01:44, 46.42it/s]
loss: 24.2501:   3%|¨†         | 169/5000 [00:03<01:44, 46.42it/s]
loss: 26.0473:   3%|¨†         | 169/5000 [00:03<01:44, 46.42it/s]
loss: 26.0473:   3%|¨†         | 174/5000 [00:03<01:50, 43.82it/s]
loss: 19.9502:   3%|¨†         | 174/5000 [00:03<01:50, 43.82it/s]
loss: 20.9911:   3%|¨†         | 174/5000 [00:03<01:50, 43.82it/s]
loss: 26.1348:   3%|¨†         | 174/5000 [00:03<01:50, 43.82it/s]
loss: 21.7875:   3%|¨†         | 174/5000 [00:03<01:50, 43.82it/s]
loss: 21.9405:   3%|¨†         | 174/5000 [00:03<01:50, 43.82it/s]
loss: 21.9405:   4%|¨†         | 179/5000 [00:03<02:11, 36.56it/s]
loss: 24.4637:   4%|¨†         | 179/5000 [00:03<02:11, 36.56it/s]
loss: 25.1351:   4%|¨†         | 179/5000 [00:03<02:11, 36.56it/s]
loss: 22.9701:   4%|¨†         | 179/5000 [00:03<02:11, 36.56it/s]
loss: 25.8589:   4%|¨†         | 179/5000 [00:03<02:11, 36.56it/s]
loss: 25.8589:   4%|¨†         | 183/5000 [00:03<02:17, 34.96it/s]
loss: 23.6763:   4%|¨†         | 183/5000 [00:03<02:17, 34.96it/s]
loss: 23.2804:   4%|¨†         | 183/5000 [00:03<02:17, 34.96it/s]
loss: 23.9743:   4%|¨†         | 183/5000 [00:03<02:17, 34.96it/s]
loss: 22.7633:   4%|¨†         | 183/5000 [00:03<02:17, 34.96it/s]
